date,value
2022-01-01,289.772
2022-02-01,292.794
2022-03-01,295.728
2022-04-01,298.711
2022-05-01,302.038
2022-06-01,305.041
2022-07-01,308.532
2022-08-01,310.875
2022-09-01,313.142
2022-10-01,315.323
2022-11-01,315.857
2022-12-01,316.839
2023-01-01,319.136
2023-02-01,320.569
2023-03-01,320.863
2023-04-01,321.566
2023-05-01,322.249
2023-06-01,322.556
2023-07-01,323.523
2023-08-01,324.1
2023-09-01,324.704
2023-10-01,325.731
2023-11-01,325.172
2023-12-01,325.409
2024-01-01,327.327
2024-02-01,327.731
2024-03-01,328.043
2024-04-01,328.678
2024-05-01,329.12
2024-06-01,329.71
2024-07-01,330.561
2024-08-01,330.75
2024-09-01,332.083
2024-10-01,332.678
2024-11-01,332.904
2024-12-01,333.566
2025-01-01,335.517
2025-02-01,336.274
2025-03-01,337.751
2025-04-01,337.747
2025-05-01,338.598
2025-06-01,339.498
2025-07-01,340.036
2025-08-01,341.295
2025-09-01,342.405
2025-10-01,
2025-11-01,341.721
2025-12-01,343.795
