date,open,high,low,close,adjusted close,volume,dividend amount
2022-01-31,144.0000,146.6300,133.9500,139.8100,44.0616,164148268,0.0000
2022-02-28,139.2100,141.9900,132.0100,135.1600,42.5962,162575143,0.0000
2022-03-31,135.8700,150.5400,135.0200,148.9200,47.1139,185368469,0.5600
2022-04-29,149.6600,160.7700,148.8397,152.9900,48.4016,142211450,0.0000
2022-05-31,154.9600,154.9900,117.2700,128.6300,40.8440,272075714,0.5600
2022-06-30,128.5000,128.9200,117.9029,121.5800,38.6054,170929925,0.0000
2022-07-29,121.9400,133.3900,120.0600,132.0500,41.9299,157646467,0.0000
2022-08-31,131.0600,142.7200,125.1200,132.5500,42.2703,208094056,0.5600
2022-09-30,132.5400,138.2490,128.2700,129.7000,41.3614,138652720,0.0000
2022-10-31,130.2400,143.0700,128.0700,142.3300,45.3891,116898368,0.0000
2022-11-30,142.9700,154.6400,138.2700,152.4200,48.6068,151667100,0.0000
2022-12-30,152.0500,153.6100,140.8100,141.7900,45.3871,127378355,0.5600
2023-01-31,142.5500,147.8600,138.1700,143.8700,46.0529,108018377,0.0000
2023-02-28,143.6600,148.3400,138.6900,142.1300,45.4959,122852846,0.0000
2023-03-31,141.0600,148.4400,136.0900,147.4500,47.3934,174886446,0.5700
2023-04-28,147.7300,153.7500,147.0200,150.9700,48.5248,100262054,0.0000
2023-05-31,151.0400,154.3500,145.0100,146.8700,47.3858,134859408,0.5700
2023-06-30,146.2100,158.2300,145.9400,157.1800,50.7122,130117580,0.0000
2023-07-31,156.8100,160.9400,153.4500,159.8600,51.5769,90731584,0.0000
2023-08-31,159.9500,162.9900,155.0200,162.6100,52.6507,130561477,0.5700
2023-09-29,162.8700,165.8499,159.1850,159.9300,51.7830,110414265,0.0000
2023-10-31,159.4900,164.3300,151.6500,163.4100,52.9098,114669143,0.0000
2023-11-30,164.2100,169.9400,154.1300,155.6900,50.4101,178862404,0.0000
2023-12-29,155.3800,158.3300,149.5400,157.6500,51.2356,180851074,0.5700
2024-01-31,157.2500,167.8000,155.6000,165.2500,53.7056,127807712,0.0000
2024-02-29,165.7000,181.3500,58.1800,58.6100,57.1440,237140989,0.0000
2024-03-28,58.8000,61.6550,58.2000,60.1700,58.8645,337575517,0.2075
2024-04-30,60.3100,60.8900,58.5550,59.3500,58.0623,303697400,0.0000
2024-05-31,59.3100,65.9000,58.5800,65.7600,64.5541,401576473,0.2075
2024-06-28,65.5100,69.0400,65.1603,67.7100,66.4683,288554527,0.0000
2024-07-31,67.8900,71.3300,67.2500,68.6400,67.3813,288076714,0.0000
2024-08-30,68.9100,77.4750,66.6700,77.2300,76.0279,395298169,0.2075
2024-09-30,77.3300,81.6000,76.3000,80.7500,79.4931,357719483,0.0000
2024-10-31,80.6800,83.3400,78.9800,81.9500,80.6744,274959626,0.0000
2024-11-29,82.5300,92.6400,81.5400,92.5000,91.0602,340426770,0.0000
2024-12-31,92.8200,96.1800,88.9100,90.3500,89.1395,382131833,0.2075
2025-01-31,89.9800,99.0000,89.5200,98.1600,96.8449,301854318,0.0000
2025-02-28,96.7700,105.3000,92.1200,98.6100,97.2889,393516414,0.0000
2025-03-31,97.9800,99.4900,83.8700,87.7900,86.8506,529717656,0.2350
2025-04-30,87.5350,97.7800,79.8100,97.2500,96.2093,509882884,0.0000
2025-05-30,97.0150,99.7400,91.8900,98.7200,97.9009,393159570,0.2350
2025-06-30,98.8400,100.8900,93.4300,97.7800,96.9687,343229240,0.0000
2025-07-31,97.6000,99.3500,94.2300,97.9800,97.1670,289967060,0.0000
2025-08-29,98.0000,104.7200,95.4200,96.9800,96.4013,397882612,0.2350
2025-09-30,97.2300,106.1100,96.5100,103.0600,102.4451,326721136,0.0000
2025-10-31,102.5600,109.5750,99.8700,101.1800,100.5763,348809302,0.0000
2025-11-28,100.8150,110.7000,98.8800,110.5100,109.8506,391362140,0.0000
2025-12-31,110.5100,117.4500,110.3600,111.4100,110.9682,440249784,0.2350
